城市,名称,上牌时间,品牌,表显里程,排量,变速箱,原价,售价,排放标准,过户次数,使用性质,产权性质,看车方式,异常点,车长/宽/高,轴距,行李箱容积,整备质量,进气形式,气缸数,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驱车制动类型,前轮胎规格,后轮胎规格,abs,esp,定速巡航,gps,倒车雷达,倒车影像系统
天津,领克01新能源 2018款 1.5T PHEV 劲Pro 国V,2018,领克01新能源,4.9万公里,1.5T,自动,28.20万,15.50万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,8,4512/1857/1673,2734,-,1769,涡轮增压,3缸,180,265,插电式混合动力,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,235/50 R19,235/50 R19,标配,标配,标配,标配,标配,标配
太原,日产 逍客 2017款 1.2T 手动时尚版,2017,日产,6.61万公里,1.2T,手动,15.17万,8.30万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4384/1837/1594,2646,486,1358,涡轮增压,4缸,117,190,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,215/60 R17,215/60 R17,标配,标配,-,标配,标配,-
太原,日产 逍客 2017款 1.2T 手动时尚版,2017,日产,6.61万公里,1.2T,手动,15.17万,8.30万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4384/1837/1594,2646,486,1358,涡轮增压,4缸,117,190,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,215/60 R17,215/60 R17,标配,标配,-,标配,标配,-
太原,日产 逍客 2017款 1.2T 手动时尚版,2017,日产,6.61万公里,1.2T,手动,15.17万,8.30万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4384/1837/1594,2646,486,1358,涡轮增压,4缸,117,190,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,215/60 R17,215/60 R17,标配,标配,-,标配,标配,-
太原,日产 逍客 2017款 1.2T 手动时尚版,2017,日产,6.61万公里,1.2T,手动,15.17万,8.30万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4384/1837/1594,2646,486,1358,涡轮增压,4缸,117,190,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,215/60 R17,215/60 R17,标配,标配,-,标配,标配,-
太原,日产 逍客 2017款 1.2T 手动时尚版,2017,日产,6.61万公里,1.2T,手动,15.17万,8.30万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4384/1837/1594,2646,486,1358,涡轮增压,4缸,117,190,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,215/60 R17,215/60 R17,标配,标配,-,标配,标配,-
青岛,英菲尼迪QX50 2015款 2.5L 悦享版,2015,英菲尼迪QX50,5.39万公里,2.5L,自动,41.23万,19.58万,国五,2次过户,非运营使用性质,公转私产权性质,到店服务看车方式,6,4744/1803/1614,2880,321-690,1829,自然吸气,6缸,235,253,汽油,95号,多点电喷,前置四驱,电子液压助力,双叉臂式独立悬架,多连杆独立悬架,通风盘式,通风盘式,脚刹,225/55 R18,225/55 R18,标配,标配,标配,标配,标配,标配
青岛,英菲尼迪QX50 2015款 2.5L 悦享版,2015,英菲尼迪QX50,5.39万公里,2.5L,自动,41.23万,19.58万,国五,2次过户,非运营使用性质,公转私产权性质,到店服务看车方式,6,4744/1803/1614,2880,321-690,1829,自然吸气,6缸,235,253,汽油,95号,多点电喷,前置四驱,电子液压助力,双叉臂式独立悬架,多连杆独立悬架,通风盘式,通风盘式,脚刹,225/55 R18,225/55 R18,标配,标配,标配,标配,标配,标配
德州,日产 蓝鸟 2016款 1.6L CVT智酷版,2016,日产,4.74万公里,1.6L,自动,14.32万,8.20万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,20,4683/1780/1465,2700,521,1242,自然吸气,4缸,126,154,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,205/50 R17,205/50 R17,标配,标配,-,标配,标配,标配
德州,日产 蓝鸟 2016款 1.6L CVT智酷版,2016,日产,4.74万公里,1.6L,自动,14.32万,8.20万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,20,4683/1780/1465,2700,521,1242,自然吸气,4缸,126,154,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,205/50 R17,205/50 R17,标配,标配,-,标配,标配,标配
长沙,大众 桑塔纳 2015款 1.4L 手动舒适版,2015,大众,6.77万公里,1.4L,手动,10.72万,4.38万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,24,4473/1706/1469,2603,466,1100,自然吸气,4缸,90,132,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/60 R15,185/60 R15,标配,选配,-,标配,标配,-
天津,别克GL8 2017款 ES 28T 旗舰型 国V,2017,别克GL8,13.24万公里,2.0T,自动,43.41万,27.80万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,4,5203/1878/1805,3088,521-1650,1960,涡轮增压,4缸,260,350,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/60 R17,225/60 R17,标配,标配,标配,标配,标配,标配
天津,别克GL8 2017款 ES 28T 旗舰型 国V,2017,别克GL8,13.24万公里,2.0T,自动,43.41万,27.80万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,4,5203/1878/1805,3088,521-1650,1960,涡轮增压,4缸,260,350,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/60 R17,225/60 R17,标配,标配,标配,标配,标配,标配
洛阳,东风风光580 2016款 1.5T 手动豪华型,2016,东风风光580,5.91万公里,1.5T,手动,9.76万,5.38万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,31,4680/1845/1715,2780,-,1510,涡轮增压,4缸,150,220,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,225/60 R17,225/60 R17,标配,选配,-,标配,标配,标配
厦门,宝马1系 2021款 120i M运动版,2021,宝马1系,0.13万公里,1.5T,自动,22.12万,17.28万,国六,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,1,4462/1803/1446,2670,-,-,涡轮增压,3缸,140,220,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17,标配,标配,选配,标配,标配,选配
厦门,宝马1系 2021款 120i M运动版,2021,宝马1系,0.13万公里,1.5T,自动,22.12万,17.28万,国六,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,1,4462/1803/1446,2670,-,-,涡轮增压,3缸,140,220,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17,标配,标配,选配,标配,标配,选配
厦门,宝马1系 2021款 120i M运动版,2021,宝马1系,0.13万公里,1.5T,自动,22.12万,17.28万,国六,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,1,4462/1803/1446,2670,-,-,涡轮增压,3缸,140,220,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17,标配,标配,选配,标配,标配,选配
驻马,宝马3系 2016款 320Li 进取型,2016,宝马3系,3.69万公里,2.0T,自动,35.36万,19.80万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,4,4753/1811/1453,2920,480,-,涡轮增压,4缸,184,270,汽油,95号,直喷,前置后驱,电动助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,手刹,225/50 R17,225/50 R17,标配,标配,选配,标配,标配,-
宁波,大切诺基 2014款 3.0L 舒享导航版(进口),2014,大切诺基,13.07万公里,3.0L,自动,62.95万,23.80万,国四,0次过户,非运营使用性质,公户产权性质,到店服务看车方式,19,4828/1943/1802,2915,-,2235,自然吸气,6缸,234,285,汽油,92号,多点电喷,前置四驱,电子液压助力,双叉臂式独立悬架,多连杆式独立悬架+横向稳定杆,通风盘式,通风盘式,脚刹,265/60 R18,265/60 R18,标配,标配,标配,标配,标配,标配
济南,丰田 RAV4 2018款 2.0L CVT两驱风尚X版,2018,丰田,4.15万公里,2.0L,自动,22.01万,16.94万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,8,4675/1845/1690,2660,1142,1530,自然吸气,4缸,151,192,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,双叉臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,标配
济南,丰田 RAV4 2018款 2.0L CVT两驱风尚X版,2018,丰田,4.15万公里,2.0L,自动,22.01万,16.94万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,8,4675/1845/1690,2660,1142,1530,自然吸气,4缸,151,192,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,双叉臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,标配
潍坊,起亚K4 2017款 1.8L 自动GLS Special,2017,起亚K4,5.91万公里,1.8L,自动,16.26万,9.28万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4720/1815/1465,2770,525,1459,自然吸气,4缸,143,176,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,脚刹,215/50 R17,215/50 R17,标配,-,-,标配,标配,标配
南京,沃尔沃S60L 2019款 T5 智远版,2019,沃尔沃S60L,3.82万公里,2.0T,自动,32.99万,18.80万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,0,4715/1866/1481,2856,380,-,涡轮增压,4缸,245,350,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,235/45 R18,235/45 R18,标配,标配,标配,标配,标配,-
南京,沃尔沃S60L 2019款 T5 智远版,2019,沃尔沃S60L,3.82万公里,2.0T,自动,32.99万,18.80万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,0,4715/1866/1481,2856,380,-,涡轮增压,4缸,245,350,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,235/45 R18,235/45 R18,标配,标配,标配,标配,标配,-
威海,奥迪A3 2014款 Sportback 35 TFSI 自动时尚型,2014,奥迪A3,6.93万公里,1.4T,自动,23.76万,10.80万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,10,4319/1785/1441,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16,标配,标配,选配,标配,标配,选配
合肥,沃尔沃XC60 2014款 T5 智雅版(进口),2014,沃尔沃XC60,13.31万公里,2.0T,自动,51.01万,12.78万,国四,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,25,4644/1891/1713,2774,490-1450,1744,涡轮增压,4缸,240,320,汽油,95号,直喷,前置前驱,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,电子驻车,235/60 R18,235/60 R18,标配,标配,标配,标配,标配,标配
合肥,沃尔沃XC60 2014款 T5 智雅版(进口),2014,沃尔沃XC60,13.31万公里,2.0T,自动,51.01万,12.78万,国四,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,25,4644/1891/1713,2774,490-1450,1744,涡轮增压,4缸,240,320,汽油,95号,直喷,前置前驱,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,电子驻车,235/60 R18,235/60 R18,标配,标配,标配,标配,标配,标配
郑州,宝马X3 2018款 xDrive25i M运动套装,2018,宝马X3,4.68万公里,2.0T,自动,43.40万,35.30万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,6,4717/1891/1689,2864,-,1860,涡轮增压,4缸,184,290,汽油,95号,直喷,前置四驱,电动助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,电子驻车,245/50 R19,245/50 R19,标配,标配,标配,标配,标配,选配
广州,宝马X1新能源 2018款 xDrive25Le 豪华型,2018,宝马X1新能源,4.23万公里,1.5T,自动,43.07万,24.68万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,3,4565/1821/1613,2780,445-1550,1900,涡轮增压,3缸,136,220,插电式混合动力,95号,直喷,前置四驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,电子驻车,225/50 R18,225/50 R18,标配,标配,选配,标配,标配,-
洛阳,哈弗H2s 2017款 红标 1.5T 手动舒适型,2017,哈弗H2s,3.14万公里,1.5T,手动,9.20万,5.38万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,15,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
潍坊,哈弗H2s 2017款 红标 1.5T 手动精英型,2017,哈弗H2s,5.7万公里,1.5T,手动,9.64万,5.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
潍坊,哈弗H2s 2017款 红标 1.5T 手动精英型,2017,哈弗H2s,5.7万公里,1.5T,手动,9.64万,5.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
潍坊,哈弗H2s 2017款 红标 1.5T 手动精英型,2017,哈弗H2s,5.7万公里,1.5T,手动,9.64万,5.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
潍坊,哈弗H2s 2017款 红标 1.5T 手动精英型,2017,哈弗H2s,5.7万公里,1.5T,手动,9.64万,5.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
潍坊,哈弗H2s 2017款 红标 1.5T 手动精英型,2017,哈弗H2s,5.7万公里,1.5T,手动,9.64万,5.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
潍坊,哈弗H2s 2017款 红标 1.5T 手动精英型,2017,哈弗H2s,5.7万公里,1.5T,手动,9.64万,5.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
潍坊,哈弗H2s 2017款 红标 1.5T 手动精英型,2017,哈弗H2s,5.7万公里,1.5T,手动,9.64万,5.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
潍坊,哈弗H2s 2017款 红标 1.5T 手动精英型,2017,哈弗H2s,5.7万公里,1.5T,手动,9.64万,5.88万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,9,4195/1772/1638,2550,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
广州,比亚迪 唐新能源 2018款 DM 2.0T 全时四驱智联创享型 5座 国V,2018,比亚迪,2.99万公里,2.0T,自动,27.67万,18.99万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4870/1950/1725,2820,-,-,涡轮增压,4缸,205,320,插电式混合动力,92号,直喷,双电机四驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,通风盘式,电子驻车,255/50 R20,255/50 R20,标配,标配,标配,标配,标配,标配
广州,比亚迪 唐新能源 2018款 DM 2.0T 全时四驱智联创享型 5座 国V,2018,比亚迪,2.99万公里,2.0T,自动,27.67万,18.99万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4870/1950/1725,2820,-,-,涡轮增压,4缸,205,320,插电式混合动力,92号,直喷,双电机四驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,通风盘式,电子驻车,255/50 R20,255/50 R20,标配,标配,标配,标配,标配,标配
郑州,款 1.5T COOPER Fun,未知年份,款,3.7万公里,1.5T,自动,27.68万,16.20万,国五,3次过户,非运营使用性质,公户产权性质,到店服务看车方式,8,3832/1727/1450,2495,211,1240,涡轮增压,3缸,136,220,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,195/55 R16,195/55 R16,标配,标配,标配,标配,标配,选配
郑州,款 1.5T COOPER Fun,未知年份,款,3.7万公里,1.5T,自动,27.68万,16.20万,国五,3次过户,非运营使用性质,公户产权性质,到店服务看车方式,8,3832/1727/1450,2495,211,1240,涡轮增压,3缸,136,220,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,195/55 R16,195/55 R16,标配,标配,标配,标配,标配,选配
苏州,款 1.5T COOPER Fun,未知年份,款,5.72万公里,1.5T,自动,27.68万,16.00万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,3832/1727/1450,2495,211,1240,涡轮增压,3缸,136,220,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,195/55 R16,195/55 R16,标配,标配,标配,标配,标配,选配
吉林,本田 雅阁 2014款 2.4L EX 豪华版,2014,本田,11.3万公里,2.4L,自动,24.94万,13.80万,国四,3次过户,非运营使用性质,私户产权性质,到店服务看车方式,8,4930/1845/1470,2775,512,1555,自然吸气,4缸,186,243,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/50 R17,225/50 R17,标配,标配,标配,标配,标配,标配
淄博,林肯MKZ 2019款 2.0T 尊雅版 国V,2019,林肯MKZ,1.96万公里,2.0T,自动,32.54万,20.80万,国五,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,2,4925/1864/1477,2850,505,1769,涡轮增压,4缸,203,381,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,235/45 R18,235/45 R18,标配,标配,标配,标配,标配,标配
郑州,众泰T700 2017款 1.8T 双离合尊享型,2017,众泰T700,4.59万公里,1.8T,自动,14.09万,6.50万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,21,4748/1933/1697,2850,850,1787,涡轮增压,4缸,177,245,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,235/55 R19,235/55 R19,标配,标配,标配,标配,标配,标配
合肥,本田 思域 2012款 1.8L 自动豪华版,2012,本田,6.39万公里,1.8L,自动,17.13万,7.28万,国四,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4535/1755/1450,2670,440,1280,自然吸气,4缸,141,174,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,-
合肥,本田 思域 2012款 1.8L 自动豪华版,2012,本田,6.39万公里,1.8L,自动,17.13万,7.28万,国四,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4535/1755/1450,2670,440,1280,自然吸气,4缸,141,174,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,-
德阳,现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国VI,2019,现代ix35,1.23万公里,2.0L,自动,15.19万,11.68万,国六,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,0,4435/1850/1715,2640,-,-,自然吸气,4缸,160,193,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,225/55 R18,225/55 R18,标配,标配,-,标配,标配,标配
武汉,江淮 瑞风S3 2016款 1.5L 手动豪华智能型,2016,江淮,2.92万公里,1.5L,手动,8.12万,4.00万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,17,4325/1765/1660,2560,600,1210,自然吸气,4缸,113,146,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,-
